date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:28:50	13875/13875	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Oct%202020%2012:41:32%20GMT	https://demos.creative-tim.com/bs3/paper-dashboard/dashboard.html	C:/giao_dien_admin/giao_dien_admin/demos.creative-tim.com/bs3/paper-dashboard/dashboard.html	(from )
20:28:50	2177/2177	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Aug%202024%2013:28:51%20GMT	https://demos.creative-tim.com/robots.txt		(from )
20:28:50	1109/1109	---M--	200	added ('OK')	image/png	etag:%225f85a07c-98e%22	https://demos.creative-tim.com/bs3/paper-dashboard/assets/img/apple-icon.png	C:/giao_dien_admin/giao_dien_admin/demos.creative-tim.com/bs3/paper-dashboard/assets/img/apple-icon.png	(from https://demos.creative-tim.com/bs3/paper-dashboard/dashboard.html)
20:28:51	1511/1511	---M--	200	added ('OK')	image/png	etag:%225f85a07c-ac9%22	https://demos.creative-tim.com/bs3/paper-dashboard/assets/img/favicon.png	C:/giao_dien_admin/giao_dien_admin/demos.creative-tim.com/bs3/paper-dashboard/assets/img/favicon.png	(from https://demos.creative-tim.com/bs3/paper-dashboard/dashboard.html)
20:28:51	121201/121201	---M-Z	200	added ('OK')	text/css	etag:W/%225f85a07c-1d971%22	https://demos.creative-tim.com/bs3/paper-dashboard/assets/css/bootstrap.min.css	C:/giao_dien_admin/giao_dien_admin/demos.creative-tim.com/bs3/paper-dashboard/assets/css/bootstrap.min.css	(from https://demos.creative-tim.com/bs3/paper-dashboard/dashboard.html)
20:28:51	55523/55523	---M-Z	200	added ('OK')	text/css	etag:W/%225f85a07c-d8e3%22	https://demos.creative-tim.com/bs3/paper-dashboard/assets/css/animate.min.css	C:/giao_dien_admin/giao_dien_admin/demos.creative-tim.com/bs3/paper-dashboard/assets/css/animate.min.css	(from https://demos.creative-tim.com/bs3/paper-dashboard/dashboard.html)
20:28:52	79895/79895	---MCZ	200	added ('OK')	text/css	etag:W/%225f85a07c-18804%22	https://demos.creative-tim.com/bs3/paper-dashboard/assets/css/paper-dashboard.css	C:/giao_dien_admin/giao_dien_admin/demos.creative-tim.com/bs3/paper-dashboard/assets/css/paper-dashboard.css	(from https://demos.creative-tim.com/bs3/paper-dashboard/dashboard.html)
20:28:52	5509/5509	---MCZ	200	added ('OK')	text/css	etag:W/%225f85a07c-1eb2%22	https://demos.creative-tim.com/bs3/paper-dashboard/assets/css/demo.css	C:/giao_dien_admin/giao_dien_admin/demos.creative-tim.com/bs3/paper-dashboard/assets/css/demo.css	(from https://demos.creative-tim.com/bs3/paper-dashboard/dashboard.html)
20:28:53	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	C:/giao_dien_admin/giao_dien_admin/maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	(from https://demos.creative-tim.com/bs3/paper-dashboard/dashboard.html)
20:28:53	13868/13868	---MCZ	200	added ('OK')	text/css	etag:W/%225f85a07c-4046%22	https://demos.creative-tim.com/bs3/paper-dashboard/assets/css/themify-icons.css	C:/giao_dien_admin/giao_dien_admin/demos.creative-tim.com/bs3/paper-dashboard/assets/css/themify-icons.css	(from https://demos.creative-tim.com/bs3/paper-dashboard/dashboard.html)
20:28:53	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2012%20Aug%202024%2013:28:54%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/giao_dien_admin/giao_dien_admin/www.googletagmanager.com/gtm.95445.delayed	(from https://demos.creative-tim.com/bs3/paper-dashboard/dashboard.html)
20:28:54	13181/13181	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Oct%202020%2012:41:32%20GMT	https://demos.creative-tim.com/bs3/paper-dashboard/user.html	C:/giao_dien_admin/giao_dien_admin/demos.creative-tim.com/bs3/paper-dashboard/user.html	(from https://demos.creative-tim.com/bs3/paper-dashboard/dashboard.html)
20:28:55	10569/10569	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Oct%202020%2012:41:32%20GMT	https://demos.creative-tim.com/bs3/paper-dashboard/table.html	C:/giao_dien_admin/giao_dien_admin/demos.creative-tim.com/bs3/paper-dashboard/table.html	(from https://demos.creative-tim.com/bs3/paper-dashboard/dashboard.html)
20:28:56	11076/11076	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Oct%202020%2012:41:32%20GMT	https://demos.creative-tim.com/bs3/paper-dashboard/typography.html	C:/giao_dien_admin/giao_dien_admin/demos.creative-tim.com/bs3/paper-dashboard/typography.html	(from https://demos.creative-tim.com/bs3/paper-dashboard/dashboard.html)
20:28:56	50111/50111	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Oct%202020%2012:41:32%20GMT	https://demos.creative-tim.com/bs3/paper-dashboard/icons.html	C:/giao_dien_admin/giao_dien_admin/demos.creative-tim.com/bs3/paper-dashboard/icons.html	(from https://demos.creative-tim.com/bs3/paper-dashboard/dashboard.html)
20:28:56	8729/8729	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Oct%202020%2012:41:32%20GMT	https://demos.creative-tim.com/bs3/paper-dashboard/maps.html	C:/giao_dien_admin/giao_dien_admin/demos.creative-tim.com/bs3/paper-dashboard/maps.html	(from https://demos.creative-tim.com/bs3/paper-dashboard/dashboard.html)
